Number of nodes 5890 
   241 :  1.6756617e+01  4.1161199e+01 
   242 :  1.6558460e+01  4.1223528e+01 
   243 :  1.6369762e+01  4.1301265e+01 
   244 :  1.6176575e+01  4.1372916e+01 
   245 :  1.5991560e+01  4.1455282e+01 
   246 :  1.5924712e+01  4.1600550e+01 
   247 :  1.6076091e+01  4.1712679e+01 
   248 :  1.6164025e+01  4.1848444e+01 
   249 :  1.6001899e+01  4.1935946e+01 
   250 :  1.5791802e+01  4.1903980e+01 
   251 :  1.5591382e+01  4.1912562e+01 
   252 :  1.5375136e+01  4.1926761e+01 
   253 :  1.5158973e+01  4.1941649e+01 
   254 :  1.4958906e+01  4.2004472e+01 
   255 :  1.4771785e+01  4.2085133e+01 
   256 :  1.4629933e+01  4.2202951e+01 
   257 :  1.4463440e+01  4.2306365e+01 
   258 :  1.4305155e+01  4.2418038e+01 
   259 :  1.4151576e+01  4.2533356e+01 
   260 :  1.4032251e+01  4.2668886e+01 
   261 :  1.3942846e+01  4.2816509e+01 
   262 :  1.3882425e+01  4.2972061e+01 
   263 :  1.3822472e+01  4.3127782e+01 
   264 :  1.3752354e+01  4.3281260e+01 
   265 :  1.3670496e+01  4.3431697e+01 
   266 :  1.3569204e+01  4.3575060e+01 
   267 :  1.3372294e+01  4.3647791e+01 
   268 :  1.3192722e+01  4.3743545e+01 
   269 :  1.3027334e+01  4.3852737e+01 
   270 :  1.2841732e+01  4.3942737e+01 
   271 :  1.2651748e+01  4.4028077e+01 
   272 :  1.2488678e+01  4.4139542e+01 
   273 :  1.2363933e+01  4.4273348e+01 
   274 :  1.2304017e+01  4.4429115e+01 
   275 :  1.2284440e+01  4.4590187e+01 
   276 :  1.2262658e+01  4.4749180e+01 
   277 :  1.2413689e+01  4.4857234e+01 
   278 :  1.2417709e+01  4.4999612e+01 
   279 :  1.2309544e+01  4.5131579e+01 
   280 :  1.2188361e+01  4.5263295e+01 
   281 :  1.2222793e+01  4.5412186e+01 
   282 :  1.2397481e+01  4.5516636e+01 
   283 :  1.2554732e+01  4.5504592e+01 
   284 :  1.2771736e+01  4.5551135e+01 
   285 :  1.2971525e+01  4.5631667e+01 
   286 :  1.3133155e+01  4.5735152e+01 
